Stu,Grad,EX1,EX1Date,EX1Loc,EX2,EX2Date,EX2Loc,Kap1.58,Kap2.58,CHEM111,BIO152,CHEM124,BIO213,BIO214,chem.111,bio.152,chem.124,bio.213,bio.214,APnonSMC,non.smc.a,non.smc.p,sci.gpa.dec10,BIO216Micro,X224Essen,bio.216,x.224,sci.gpa.may11,X321,X321.last,X323,X323.last,X326,X326.last,X330,X330.last,X334,X407,X410,X414,X415,X485,x.321,x.321.last,x.323,x.323.last,x.326,x.326.last,x.330,x.330.last,x.334,x.407,x.410,x.414,x.415,x.485,upper.gpa,cum.gpa
28,Spr13,0,,PA,1,9/11/13,,56.7,63.9,B-,B+,A-,A-,B-,2.667,3.333,3.667,3.667,2.667,,,,3.2,A-,B+,3.667,3.333,3.29,B,B,B-,B-,B,B,C+,C+,B-,B+,B-,B+,B+,B+,3,3,2.667,2.667,3,3,2.333,2.333,2.667,3.333,2.667,3.333,3.333,3.333,2.95,3.2407
29,Spr13,1,6/25/13,CA,,,,58.7,,B,B+,B+,A,B,3,3.333,3.333,4,3,,,,3.33,A,A-,4,3.667,3.48,,,B,B,B,B,B+,B+,A-,A-,A-,A-,A-,A,,,3,3,3,3,3.333,3.333,3.667,3.667,3.667,3.667,3.667,4,3.47,3.4929
30,Spr13,1,6/20/13,IN,,,,52,69.4,C,C+,C-,B,B,2,2.333,1.667,3,3,,,,2.4,B+,A-,3.333,3.667,2.77,C+,C+,C,C,C+,C+,B-,B-,B-,B,C+,A-,A,B+,2.333,2.333,2,2,2.333,2.333,2.667,2.667,2.667,3,2.333,3.667,4,3.333,2.8,2.8908
31,Spr13,1,6/19/13,IL,,,,56,70.6,C,B,C+,B,B-,2,3,2.333,3,2.667,,,,2.6,B+,B+,3.333,3.333,2.84,B-,B-,C+,C+,B-,B-,C+,C+,A-,B-,B+,A-,B,B,2.667,2.667,2.333,2.333,2.667,2.667,2.333,2.333,3.667,2.667,3.333,3.667,3,3,2.89,2.9881
32,Spr13,1,6/28/13,IL,,,,54.7,69.4,,,,,,,,,,,,,,,,,,,,C+,C+,B,B,B-,B-,B+,B+,,B+,B-,A-,A-,B+,2.333,2.333,3,3,2.667,2.667,3.333,3.333,,3.333,2.667,3.667,3.667,3.333,3.09,3.0358
33,Spr13,1,6/14/13,IN,,,,64.7,,B+,B+,A-,A,A,3.333,3.333,3.667,4,4,,,,3.66,A,A-,4,3.667,,B+,B+,B,B,B+,B+,B+,B+,A-,A-,A-,A,A,A-,3.333,3.333,3,3,3.333,3.333,3.333,3.333,3.667,3.667,3.667,4,4,3.667,3.55,3.6275
34,Spr13,1,9/25/13,MI,,,,61.3,,B-,B,B-,B+,B,2.667,3,2.667,3.333,3,,,,2.93,B+,A,3.333,4,3.2,B,B,B,B,B-,B-,A-,A-,A-,B+,A-,A-,A,A-,3,3,3,3,2.667,2.667,3.667,3.667,3.667,3.333,3.667,3.667,4,3.667,3.4,3.4612
35,Spr13,1,6/26/13,ND,,,,61.3,,B+,B+,A,A,A-,3.333,3.333,4,4,3.667,,,,3.66,A-,B+,3.667,3.333,,B-,B-,B-,B-,B-,B-,B-,B-,A-,A-,B+,B+,A,B-,2.667,2.667,2.667,2.667,2.667,2.667,2.667,2.667,3.667,3.667,3.333,3.333,4,2.667,3.14,3.5381
36,Spr13,1,6/26/13,IL,,,,54,61.1,B+,B,B-,B,B-,3.333,3,2.667,3,2.667,,,,2.93,A-,B,3.667,3,3.04,C+,C+,C,C,C+,C+,B,B,B,B-,B,A-,A-,C+,2.333,2.333,2,2,2.333,2.333,3,3,3,2.667,3,3.667,3.667,2.333,2.82,3.0955
37,Spr13,1,6/11/13,IN,,,,58,,A-,B+,A-,A,A,3.667,3.333,3.667,4,4,,,,3.73,B+,A-,3.333,3.667,,B+,B+,B,B,B,B,B+,B+,B+,B+,B+,A,A,B+,3.333,3.333,3,3,3,3,3.333,3.333,3.333,3.333,3.333,4,4,3.333,3.4,3.51
38,Spr13,0,6/28/13,IL,1,9/2/13,,55.3,58.3,C+,C+,B-,B,B-,2.333,2.333,2.667,3,2.667,,,,2.6,B-,B+,2.667,3.333,2.755,C+,C+,C,C,C,C,C+,C+,B-,B-,C+,A-,B+,B-,2.333,2.333,2,2,2,2,2.333,2.333,2.667,2.667,2.333,3.667,3.333,2.667,2.59,2.7952
39,Spr13,0,8/5/13,MI,,,,46,60,B,C,C+,,,3,2,2.333,,,A / A,4,4,3.06,C+,B,2.333,3,2.95,B-,B-,C+,C+,C+,C+,C-,B-,B-,B,C+,A-,A,C+,2.667,2.667,2.333,2.333,2.333,2.333,1.667,2.667,2.667,3,2.333,3.667,4,2.333,2.78,2.7631
40,Spr13,1,7/25/13,IL,,,,58,,A-,A-,A-,A,A-,3.667,3.667,3.667,4,3.667,,,,3.73,A,A-,4,3.667,,B,B,B-,B-,B,B,B,B,A-,B,B+,A,A-,B,3,3,2.667,2.667,3,3,3,3,3.667,3,3.333,4,3.667,3,3.23,3.6409
41,Spr13,1,8/28/13,TN,,,,57.3,66.7,B+,B,B-,A,B+,3.333,3,2.667,4,3.333,,,,3.26,B+,A-,3.333,3.667,3.35,B,B,B+,B+,B,B,B,B,A,B+,B+,B+,A,B,3,3,3.333,3.333,3,3,3,3,4,3.333,3.333,3.333,4,3,3.32,3.4678
42,Spr13,1,6/13/13,IN,,,,60.7,,A-,B,B,,,3.667,3,3,,,A / A,4,4,3.53,A,A-,4,3.667,,B-,B-,B-,B-,B-,B-,B,B,B,B,B,A,A-,A-,2.667,2.667,2.667,2.667,2.667,2.667,3,3,3,3,3,4,3.667,3.667,3.1,3.5267
43,Spr13,0,,NC,,,,47.3,58.3,C-,B+,C+,B+,B-,1.667,3.333,2.333,3.333,2.667,,,,2.66,B-,B+,2.667,3.333,2.799,B-,B-,C+,C+,B-,B-,C+,C+,A-,B-,B-,A,B+,C+,2.667,2.667,2.333,2.333,2.667,2.667,2.333,2.333,3.667,2.667,2.667,4,3.333,2.333,2.86,2.9048
44,Spr13,0,,MI,1,9/16/13,,54,64.4,B+,A,A,A,A,3.333,4,4,4,4,,,,3.86,A,A,4,4,,B+,B+,B+,B+,B+,B+,B+,B+,A,B+,B+,A,A,B+,3.333,3.333,3.333,3.333,3.333,3.333,3.333,3.333,4,3.333,3.333,4,4,3.333,3.52,3.7499
45,Spr13,1,7/17/13,IN,,,,46.7,63.3,B-,B,B,A-,B-,2.667,3,3,3.667,2.667,,,,3,C+,B,2.333,3,2.91,B,B,C+,C+,C,C,B-,B-,B+,C,B-,B+,A-,B,3,3,2.333,2.333,2,2,2.667,2.667,3.333,2,2.667,3.333,3.667,3,2.76,2.9765
46,Spr13,0,8/15/13,,1,10/3/13,,50.7,63.9,C+,B,B-,B,B,2.333,3,2.667,3,3,,,,2.8,B-,B+,2.667,3.333,2.88,C+,C+,C,C,B,B,C-,C,B-,B-,C,B,B+,C,2.333,2.333,2,2,3,3,1.667,2,2.667,2.667,2,3,3.333,2,2.5,2.7933
47,Spr13,0,6/28/13,MI,1,,MI,54,65,,B+,B-,A,B+,,3.333,2.667,4,3.333,,,,3.26,B,B,3,3,3.17,B-,B-,B-,B-,B-,B-,C+,C+,B,B,B-,B,B+,B,2.667,2.667,2.667,2.667,2.667,2.667,2.333,2.333,3,3,2.667,3,3.333,3,2.81,3.0658
101,Sum13,,,,,,,55.3,63.3,C,B+,B-,A,B,2,3.333,2.667,4,3,,,,3,A-,B+,3.667,3.333,3.15,C+,C+,C+,C+,C-,B,C+,C+,B,B,B-,A-,A,A-,2.333,2.333,2.333,2.333,1.667,3,2.333,2.333,3,3,2.667,3.667,4,3.667,2.62,3.187
102,Sum13,,,,,,,56.7,67.3,C+,B-,B,,,2.333,2.667,3,,,B- / A,2.667,4,2.93,C+,B-,2.333,2.667,2.8,C+,C+,D+,C+,C,C,C,C,B-,C+,C,B-,B,B,2.333,2.333,1.333,2.333,2,2,2,2,2.667,2.333,2,2.667,3,3,2.32,2.423
103,Sum13,0,9/20/13,IL,,,,52.7,65.3,B+,B+,B+,B+,B,3.333,3.333,3.333,3.333,3,,,,3.26,B,B,3,3,3.17,C-,B+,C+,C+,C,C,C+,C+,A-,B-,B,A,B,C+,1.667,3.333,2.333,2.333,2,2,2.333,2.333,3.667,2.667,3,4,3,2.333,2.77,3.133
104,Sum13,1,9/6/13,IN,,,,61.3,,B-,B-,C-,B+,B-,2.667,2.667,1.667,3.333,2.667,,,,,B-,B+,2.667,3.333,2.76,C,C,C,C,C-,B,C,C,B,B-,B+,A-,B+,B,2,2,2,2,1.667,3,2,2,3,2.667,3.333,3.667,3.333,3,2.7,2.765
